Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MAE Notification Creator,,,,2022-02-07 16:54:43,2022-02-07 16:55:51,1m - 7.871s,PASSED
,,,,,,,
Test Cases/Send Request Money/requestMoney,,,,2022-02-07 16:54:58,2022-02-07 16:55:09,10.887s,PASSED
try,,,,2022-02-07 16:54:58,2022-02-07 16:55:09,10.595s,FAILED
catch (Exception e),,,,2022-02-07 16:55:09,2022-02-07 16:55:09,0.001s,PASSED
,,,,,,,
Test Cases/Send Request Money/sendMoney,,,,2022-02-07 16:55:09,2022-02-07 16:55:14,5.341s,PASSED
try,,,,2022-02-07 16:55:09,2022-02-07 16:55:14,5.051s,PASSED
catch (Exception e),,,,2022-02-07 16:55:14,2022-02-07 16:55:14,0.000s,PASSED
,,,,,,,
Test Cases/Others/splitBill_createSplitBillThreeFriends_Paid,,,,2022-02-07 16:55:14,2022-02-07 16:55:20,5.380s,PASSED
try,,,,2022-02-07 16:55:15,2022-02-07 16:55:20,5.024s,PASSED
catch (Exception e),,,,2022-02-07 16:55:20,2022-02-07 16:55:20,0.002s,PASSED
,,,,,,,
Test Cases/QRpay/qrPay_sendMoney,,,,2022-02-07 16:55:20,2022-02-07 16:55:25,5.323s,PASSED
try,,,,2022-02-07 16:55:20,2022-02-07 16:55:25,5.062s,FAILED
catch (Exception e),,,,2022-02-07 16:55:25,2022-02-07 16:55:25,0.000s,PASSED
,,,,,,,
Test Cases/Tabung/tabung_createTabungCreatorOnly,,,,2022-02-07 16:55:25,2022-02-07 16:55:25,0.251s,PASSED
try,,,,2022-02-07 16:55:25,2022-02-07 16:55:25,0.016s,PASSED
catch (Exception e),,,,2022-02-07 16:55:25,2022-02-07 16:55:25,0.001s,PASSED
,,,,,,,
Test Cases/Tabung/tabung_fundTabungCreatorOnly,,,,2022-02-07 16:55:25,2022-02-07 16:55:28,3.305s,PASSED
try,,,,2022-02-07 16:55:25,2022-02-07 16:55:28,3.021s,PASSED
catch (Exception e),,,,2022-02-07 16:55:28,2022-02-07 16:55:28,0.001s,PASSED
,,,,,,,
Test Cases/Tabung/tabung_createTabungInvite,,,,2022-02-07 16:55:29,2022-02-07 16:55:34,5.341s,PASSED
try,,,,2022-02-07 16:55:29,2022-02-07 16:55:34,5.022s,PASSED
catch (Exception e),,,,2022-02-07 16:55:34,2022-02-07 16:55:34,0.001s,PASSED
,,,,,,,
Test Cases/Tabung/tabung_fundTabungInvited,,,,2022-02-07 16:55:34,2022-02-07 16:55:37,3.268s,PASSED
try,,,,2022-02-07 16:55:34,2022-02-07 16:55:37,3.026s,PASSED
catch (Exception e),,,,2022-02-07 16:55:37,2022-02-07 16:55:37,0.001s,PASSED
,,,,,,,
Test Cases/Others/splitBill_createSplitBillComplete,,,,2022-02-07 16:55:37,2022-02-07 16:55:42,5.225s,PASSED
try,,,,2022-02-07 16:55:37,2022-02-07 16:55:42,5.016s,PASSED
catch (Exception e),,,,2022-02-07 16:55:42,2022-02-07 16:55:42,0.001s,PASSED
,,,,,,,
Test Cases/Transfer/transfer_moneyTransferMaybank,,,,2022-02-07 16:55:42,2022-02-07 16:55:48,5.270s,PASSED
try,,,,2022-02-07 16:55:43,2022-02-07 16:55:48,5.022s,PASSED
catch (Exception e),,,,2022-02-07 16:55:48,2022-02-07 16:55:48,0.001s,PASSED
,,,,,,,
Test Cases/Tabung/tabung_createTabungComplete,,,,2022-02-07 16:55:48,2022-02-07 16:55:48,0.259s,PASSED
try,,,,2022-02-07 16:55:48,2022-02-07 16:55:48,0.014s,PASSED
catch (Exception e),,,,2022-02-07 16:55:48,2022-02-07 16:55:48,0.001s,PASSED
,,,,,,,
Test Cases/Tabung/tabung_fundTabungComplete,,,,2022-02-07 16:55:48,2022-02-07 16:55:51,3.265s,PASSED
try,,,,2022-02-07 16:55:48,2022-02-07 16:55:51,3.017s,PASSED
catch (Exception e),,,,2022-02-07 16:55:51,2022-02-07 16:55:51,0.000s,PASSED
