Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Issue,,,,2022-04-13 15:09:37,2022-04-13 15:13:24,3m - 46.979s,FAILED
,,,,,,,
Test Cases/PayBill/payBills_todayTransaction,,,,2022-04-13 15:09:37,2022-04-13 15:13:24,3m - 46.756s,FAILED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.sit"")",,,,2022-04-13 15:09:38,2022-04-13 15:09:38,0.001s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-04-13 15:09:38,2022-04-13 15:09:38,0.001s,PASSED
"startApplication(appPath, false)",,,,2022-04-13 15:09:38,2022-04-13 15:09:52,14.923s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardWalletTopSelect""), 0)",,,,2022-04-13 15:09:52,2022-04-13 15:09:59,6.441s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardQuickActionsTitleTxt""), 0)",,,,2022-04-13 15:09:59,2022-04-13 15:09:59,0.429s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/dashboardSSLTitleTxt""), 0)",,,,2022-04-13 15:09:59,2022-04-13 15:10:00,0.314s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Dashboard/mainBottomMenuMaybank2uBtn""), 0)",,,,2022-04-13 15:10:00,2022-04-13 15:10:20,20.355s,PASSED
"takeScreenshot(""/Users/a00139272/git/MAEAutomation2/Performance/Wifi 3Bar/1.png"")",,,,2022-04-13 15:10:20,2022-04-13 15:10:22,1.691s,PASSED
device_Height = getDeviceHeight(),,,,2022-04-13 15:10:22,2022-04-13 15:10:22,0.325s,PASSED
device_Width = getDeviceWidth(),,,,2022-04-13 15:10:22,2022-04-13 15:10:22,0.325s,PASSED
startX = device_Width / 3,,,,2022-04-13 15:10:22,2022-04-13 15:10:22,0.001s,PASSED
startY = device_Height * 0.97,,,,2022-04-13 15:10:22,2022-04-13 15:10:22,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-04-13 15:10:22,2022-04-13 15:10:23,0.222s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-04-13 15:10:23,2022-04-13 15:10:36,13.045s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":accType]), 10)",,,,2022-04-13 15:10:36,2022-04-13 15:10:45,9.087s,PASSED
"tap(findTestObject(""Banking/m2uAccountPayBillsIconSelect""), 0)",,,,2022-04-13 15:10:45,2022-04-13 15:10:49,4.399s,PASSED
"if (verifyElementVisible(findTestObject(""Login Onboarding/loginEnterPasswordMessage""), 0, OPTIONAL))",,,,2022-04-13 15:10:49,2022-04-13 15:10:57,7.405s,PASSED
"verifyElementExist(findTestObject(""Paybill/payBillsIconSelect""), 20)",,,,2022-04-13 15:10:57,2022-04-13 15:11:17,20.047s,FAILED
"takeScreenshot(""/Users/a00139272/git/MAEAutomation2/Performance/Wifi 3Bar/5.png"")",,,,2022-04-13 15:11:17,2022-04-13 15:11:17,0.776s,PASSED
"tap(findTestObject(""Paybill/payBillsIconSelect""), 0)",,,,2022-04-13 15:11:17,2022-04-13 15:11:22,4.270s,PASSED
"tap(findTestObject(""Paybill/payBillSearchBillerInputField""), 0)",,,,2022-04-13 15:11:22,2022-04-13 15:11:25,2.981s,PASSED
"setText(findTestObject(""Paybill/payBillBillerNameInputField""), payeeName, 0)",,,,2022-04-13 15:11:25,2022-04-13 15:11:27,2.320s,PASSED
delay(3),,,,2022-04-13 15:11:27,2022-04-13 15:11:30,3.007s,PASSED
"tap(findTestObject(""Paybill/payBillBillerSelect"", [""payeeName"":payeeName]), 10)",,,,2022-04-13 15:11:30,2022-04-13 15:11:30,0.397s,PASSED
"tap(findTestObject(""Paybill/payBillBillerSelect"", [""payeeName"":payeeName]), 10)",,,,2022-04-13 15:11:30,2022-04-13 15:11:31,0.967s,PASSED
delay(3),,,,2022-04-13 15:11:31,2022-04-13 15:11:34,3.004s,PASSED
"verifyElementText(findTestObject(""Paybill/payBillsAccountPayeeNameTxt"", [""payee"":payeeName]), payeeName)",,,,2022-04-13 15:11:34,2022-04-13 15:11:35,0.254s,PASSED
"verifyElementExist(findTestObject(""Paybill/payBillsAccountNumberTitleTxt""), 0)",,,,2022-04-13 15:11:35,2022-04-13 15:11:35,0.227s,PASSED
"setText(findTestObject(""Paybill/PayBillAccountNumberInputField""), AccountNo, 0)",,,,2022-04-13 15:11:35,2022-04-13 15:11:36,0.836s,PASSED
hideKeyboard(),,,,2022-04-13 15:11:36,2022-04-13 15:11:38,2.136s,PASSED
"verifyElementText(findTestObject(""Paybill/payBillsAccountNumberInputtedTxt"", [""AccountNo"":AccountNo]), AccountNo)",,,,2022-04-13 15:11:38,2022-04-13 15:11:38,0.258s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-04-13 15:11:38,2022-04-13 15:11:38,0.338s,PASSED
delay(3),,,,2022-04-13 15:11:38,2022-04-13 15:11:41,3.005s,PASSED
"verifyElementText(findTestObject(""Paybill/payBillsAmountPayeeNameTxt"", [""payee"":payeeName]), payeeName)",,,,2022-04-13 15:11:41,2022-04-13 15:11:42,0.342s,PASSED
