Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regress 5,,,,2022-06-22 16:05:06,2022-06-22 16:49:38,44m - 32.801s,FAILED
,,,,,,,
Test Cases/Transfer/transfer_thirdPartyToday,,,,2022-06-22 16:05:06,2022-06-22 16:13:07,8m - 0.910s,PASSED
"setMobileDriverPreferencesProperty(""appPackage"", ""com.maybank2u.life.sit"")",,,,2022-06-22 16:05:06,2022-06-22 16:05:06,0.002s,PASSED
"setMobileDriverPreferencesProperty(""appActivity"", ""com.maybank2u.life.MainActivity"")",,,,2022-06-22 16:05:06,2022-06-22 16:05:06,0.001s,PASSED
if (isApplicationOpened == false),,,,2022-06-22 16:05:06,2022-06-22 16:05:21,14.925s,PASSED
delay(5),,,,2022-06-22 16:05:21,2022-06-22 16:05:26,5.019s,PASSED
device_Height = getDeviceHeight(),,,,2022-06-22 16:05:26,2022-06-22 16:05:27,0.478s,PASSED
device_Width = getDeviceWidth(),,,,2022-06-22 16:05:27,2022-06-22 16:05:27,0.455s,PASSED
startX = device_Width / 3,,,,2022-06-22 16:05:27,2022-06-22 16:05:27,0.002s,PASSED
startY = device_Height * 0.97,,,,2022-06-22 16:05:27,2022-06-22 16:05:27,0.001s,PASSED
"tapAtPosition(startX, startY)",,,,2022-06-22 16:05:27,2022-06-22 16:05:28,0.249s,PASSED
"if (verifyElementVisible(findTestObject(""Main/mainEnterPINMessage""), 0, OPTIONAL))",,,,2022-06-22 16:05:28,2022-06-22 16:05:41,13.026s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-22 16:05:41,2022-06-22 16:05:51,10.354s,PASSED
"tap(findTestObject(""Banking/m2uAccountTypeSelection"", [""text"":""MAE""]), 10)",,,,2022-06-22 16:05:51,2022-06-22 16:05:51,0.437s,PASSED
delay(5),,,,2022-06-22 16:05:51,2022-06-22 16:05:56,5.003s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-06-22 16:05:56,2022-06-22 16:05:57,0.385s,PASSED
"tap(findTestObject(""Banking/m2uAccountTransferIconSelect""), 0)",,,,2022-06-22 16:05:57,2022-06-22 16:05:57,0.380s,PASSED
delay(5),,,,2022-06-22 16:05:57,2022-06-22 16:06:02,5.005s,PASSED
"if (verifyElementVisible(findTestObject(""Tabung/tabungEnterPasswordTxt""), 10, OPTIONAL))",,,,2022-06-22 16:06:02,2022-06-22 16:09:49,3m - 47.293s,PASSED
"tap(findTestObject(""Banking/transferOthersTopMenuSelect""), 0)",,,,2022-06-22 16:09:49,2022-06-22 16:10:50,1m - 0.797s,PASSED
"tap(findTestObject(""Banking/transferBanksIconSelect""), 0)",,,,2022-06-22 16:10:50,2022-06-22 16:11:43,53.024s,PASSED
"tap(findTestObject(""Banking/transferToMaybankSelect""), 0)",,,,2022-06-22 16:11:43,2022-06-22 16:11:44,1.184s,PASSED
delay(3),,,,2022-06-22 16:11:44,2022-06-22 16:11:47,3.005s,PASSED
"verifyElementExist(findTestObject(""Banking/transferAccountNoInputField""), 0)",,,,2022-06-22 16:11:47,2022-06-22 16:11:48,0.169s,PASSED
"setText(findTestObject(""Banking/transferAccountNoInputField""), accountNum, 0)",,,,2022-06-22 16:11:48,2022-06-22 16:11:48,0.846s,PASSED
hideKeyboard(),,,,2022-06-22 16:11:48,2022-06-22 16:11:53,4.464s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-06-22 16:11:53,2022-06-22 16:11:53,0.220s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccNameTxt"", [""accName"":accName]), accName)",,,,2022-06-22 16:11:53,2022-06-22 16:11:58,4.392s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-06-22 16:11:58,2022-06-22 16:11:58,0.180s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmounttAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-06-22 16:11:58,2022-06-22 16:11:58,0.182s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferAmountRMTxt""), 0)",,,,2022-06-22 16:11:58,2022-06-22 16:11:58,0.162s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferAmountEnterAmountTitleTxt""), 0)",,,,2022-06-22 16:11:58,2022-06-22 16:11:58,0.232s,PASSED
"verifyElementExist(findTestObject(""Login Onboarding/PIN4""), 0)",,,,2022-06-22 16:11:58,2022-06-22 16:11:59,0.278s,PASSED
"tap(findTestObject(""Login Onboarding/PIN4""), 0)",,,,2022-06-22 16:11:59,2022-06-22 16:11:59,0.266s,PASSED
"verifyElementText(findTestObject(""Transfer/transferAmountInputValueTxt"", [""value"":checkValue]), checkValue)",,,,2022-06-22 16:11:59,2022-06-22 16:12:00,0.882s,PASSED
delay(3),,,,2022-06-22 16:12:00,2022-06-22 16:12:03,3.004s,PASSED
"tap(findTestObject(""Login Onboarding/loginPinTickBtn""), 0)",,,,2022-06-22 16:12:03,2022-06-22 16:12:03,0.235s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccNameTxt"", [""accName"":accName]), accName)",,,,2022-06-22 16:12:03,2022-06-22 16:12:05,2.090s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-06-22 16:12:05,2022-06-22 16:12:05,0.156s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceAccBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-06-22 16:12:05,2022-06-22 16:12:05,0.191s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferReferenceInputField""), 0)",,,,2022-06-22 16:12:05,2022-06-22 16:12:06,0.134s,PASSED
"setText(findTestObject(""Banking/transferReferenceInputField""), reference, 0)",,,,2022-06-22 16:12:06,2022-06-22 16:12:06,0.806s,PASSED
hideKeyboard(),,,,2022-06-22 16:12:06,2022-06-22 16:12:08,1.964s,PASSED
"verifyElementText(findTestObject(""Transfer/transferReferenceInputFieldAfter"", [""reference"":reference]), reference)",,,,2022-06-22 16:12:08,2022-06-22 16:12:09,0.171s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-06-22 16:12:09,2022-06-22 16:12:09,0.179s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAccountNameTxt"", [""accName"":accName]), accName)",,,,2022-06-22 16:12:09,2022-06-22 16:12:09,0.153s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAccountNoTxt"", [""accNo"":accNo]), accNo)",,,,2022-06-22 16:12:09,2022-06-22 16:12:09,0.168s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationAmountTxt"", [""amount"":amount]), amount)",,,,2022-06-22 16:12:09,2022-06-22 16:12:11,2.478s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionDateTxt""), ""Today"")",,,,2022-06-22 16:12:11,2022-06-22 16:12:12,0.179s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionRecRefTxt"", [""reference"":reference]), reference)",,,,2022-06-22 16:12:12,2022-06-22 16:12:12,0.179s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationTransactionBankTxt"", [""accBank"":accBank]), accBank)",,,,2022-06-22 16:12:12,2022-06-22 16:12:13,0.838s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationOptionalGreyWordTxt""), ""Optional"")",,,,2022-06-22 16:12:13,2022-06-22 16:12:13,0.192s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationBankNameTitleTxt""), 0)",,,,2022-06-22 16:12:13,2022-06-22 16:12:13,0.194s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationDateTitleTxt""), 0)",,,,2022-06-22 16:12:13,2022-06-22 16:12:13,0.191s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationFTransferFromTitleTxt""), 0)",,,,2022-06-22 16:12:13,2022-06-22 16:12:13,0.200s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationRecRefTitleTxt""), 0)",,,,2022-06-22 16:12:13,2022-06-22 16:12:14,0.232s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationPaymentDetailsTitleTxt""), 0)",,,,2022-06-22 16:12:14,2022-06-22 16:12:14,0.221s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationNoteTitleTxt""), 0)",,,,2022-06-22 16:12:14,2022-06-22 16:12:14,0.239s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationNoteContentTxt""), 0)",,,,2022-06-22 16:12:14,2022-06-22 16:12:14,0.231s,PASSED
"tap(findTestObject(""Transfer/transferConfirmationOptionalGreyWordTxt""), 0)",,,,2022-06-22 16:12:14,2022-06-22 16:12:15,0.231s,PASSED
"setText(findTestObject(""Transfer/transferConfirmationDetailsInputField""), referenceC, 0)",,,,2022-06-22 16:12:15,2022-06-22 16:12:17,2.466s,PASSED
hideKeyboard(),,,,2022-06-22 16:12:17,2022-06-22 16:12:19,1.897s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationOptionalGreyWordTxt""), referenceC)",,,,2022-06-22 16:12:19,2022-06-22 16:12:19,0.174s,PASSED
device_Height_2 = getDeviceHeight(),,,,2022-06-22 16:12:19,2022-06-22 16:12:20,0.352s,PASSED
device_Width_2 = getDeviceWidth(),,,,2022-06-22 16:12:20,2022-06-22 16:12:20,0.359s,PASSED
startX_2 = device_Width_2 / 2,,,,2022-06-22 16:12:20,2022-06-22 16:12:20,0.000s,PASSED
endX_2 = startX_2,,,,2022-06-22 16:12:20,2022-06-22 16:12:20,0.000s,PASSED
startY_2 = device_Height_2 * 0.30,,,,2022-06-22 16:12:20,2022-06-22 16:12:20,0.000s,PASSED
endY_2 = device_Height_2 * 0.70,,,,2022-06-22 16:12:20,2022-06-22 16:12:20,0.000s,PASSED
"swipe(startX_2, endY_2, endX_2, startY_2)",,,,2022-06-22 16:12:20,2022-06-22 16:12:21,1.372s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationFromAccTypeTxt"", [""accType"":accType]), accType)",,,,2022-06-22 16:12:21,2022-06-22 16:12:21,0.253s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationFromAccNoTxt"", [""accNoFrom"":accNoFrom]), accNoFrom)",,,,2022-06-22 16:12:21,2022-06-22 16:12:22,0.239s,PASSED
"verifyElementExist(findTestObject(""Transfer/transferConfirmationFromAccBalanceTxt""), 0)",,,,2022-06-22 16:12:22,2022-06-22 16:12:22,0.213s,PASSED
