Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
JomPay,,,,2022-09-05 11:53:58,2022-09-05 11:59:15,5m - 16.639s,PASSED
,,,,,,,
Test Cases/JomPay/JomPay Add Favorite,,,,2022-09-05 11:53:58,2022-09-05 11:55:43,1m - 44.167s,PASSED
"startExistingApplication(""com.maybank2u.life.sit"")",,,,2022-09-05 11:53:59,2022-09-05 11:54:17,18.206s,PASSED
delay(5),,,,2022-09-05 11:54:17,2022-09-05 11:54:22,5.053s,PASSED
"verifyElementVisible(findTestObject(""Banking/m2uAccountPayBillsIconSelect""), 0)",,,,2022-09-05 11:54:22,2022-09-05 11:54:23,0.841s,PASSED
"tap(findTestObject(""Banking/m2uAccountPayBillsIconSelect""), 0)",,,,2022-09-05 11:54:23,2022-09-05 11:54:26,3.225s,PASSED
"if (verifyElementVisible(findTestObject(""Paybill/payBillsEnterPasswordTxt""), 0, OPTIONAL))",,,,2022-09-05 11:54:26,2022-09-05 11:54:32,5.619s,PASSED
"tap(findTestObject(""Banking/m2uAccountPayBillsIconSelect""), 40)",,,,2022-09-05 11:54:32,2022-09-05 11:54:36,4.193s,PASSED
"tap(findTestObject(""JomPay/payBillsJomPayTopMenuSelect""), 0)",,,,2022-09-05 11:54:36,2022-09-05 11:54:37,1.069s,PASSED
"tap(findTestObject(""JomPay/jomPayIconSelect""), 0)",,,,2022-09-05 11:54:37,2022-09-05 11:54:38,1.052s,PASSED
"setText(findTestObject(""JomPay/jomPayBillerInputField""), findTestData(""TestData"").getValue(8, 1), 0)",,,,2022-09-05 11:54:38,2022-09-05 11:54:40,1.710s,PASSED
"setText(findTestObject(""JomPay/jomPayBillerRefInputField""), findTestData(""TestData"").getValue(9, 1), 0)",,,,2022-09-05 11:54:40,2022-09-05 11:54:42,1.620s,PASSED
hideKeyboard(),,,,2022-09-05 11:54:42,2022-09-05 11:54:42,0.680s,PASSED
"tap(findTestObject(""Login Onboarding/loginExistingContinueBtn""), 0)",,,,2022-09-05 11:54:42,2022-09-05 11:54:43,0.459s,PASSED
"tap(findTestObject(""Login Onboarding/PIN1""), 0)",,,,2022-09-05 11:54:43,2022-09-05 11:54:45,2.390s,PASSED
"tap(findTestObject(""Login Onboarding/PIN0""), 0)",,,,2022-09-05 11:54:45,2022-09-05 11:54:46,0.461s,PASSED
"tap(findTestObject(""Login Onboarding/PIN0""), 0)",,,,2022-09-05 11:54:46,2022-09-05 11:54:46,0.494s,PASSED
"tap(findTestObject(""JomPay/jomPayAmountTickBtn""), 0)",,,,2022-09-05 11:54:46,2022-09-05 11:54:47,0.494s,PASSED
delay(10),,,,2022-09-05 11:54:47,2022-09-05 11:54:57,10.004s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationFromAccTypeTxt"", [""accType"":accType]), accType)",,,,2022-09-05 11:54:57,2022-09-05 11:54:57,0.438s,PASSED
"verifyElementText(findTestObject(""Transfer/transferConfirmationFromAccNoTxt"", [""accNoFrom"":accNoFrom]), accNoFrom)",,,,2022-09-05 11:54:57,2022-09-05 11:54:57,0.340s,PASSED
"verifyElementExist(findTestObject(""Main/mainPayNowBtn""), 0)",,,,2022-09-05 11:54:57,2022-09-05 11:54:58,0.368s,PASSED
"tap(findTestObject(""Main/mainPayNowBtn""), 0)",,,,2022-09-05 11:54:58,2022-09-05 11:54:58,0.525s,PASSED
delay(3),,,,2022-09-05 11:54:58,2022-09-05 11:55:01,3.006s,PASSED
"if (verifyElementVisible(findTestObject(""Festive Season/festiveReturnAngpaoTACNoTxt""), 10, OPTIONAL))",,,,2022-09-05 11:55:01,2022-09-05 11:55:12,10.960s,PASSED
else,,,,2022-09-05 11:55:12,2022-09-05 11:55:18,6.214s,PASSED
delay(3),,,,2022-09-05 11:55:18,2022-09-05 11:55:21,3.022s,PASSED
"verifyElementText(findTestObject(""JomPay/jomPaySummarySuccesfulTxt""), findTestData(""TestData"").getValue(7, 1))",,,,2022-09-05 11:55:21,2022-09-05 11:55:22,0.501s,PASSED
"tap(findTestObject(""Main/mainAddToFavBtn""), 0)",,,,2022-09-05 11:55:22,2022-09-05 11:55:22,0.477s,PASSED
delay(5),,,,2022-09-05 11:55:22,2022-09-05 11:55:27,5.004s,PASSED
"verifyElementVisible(findTestObject(""Main/mainAddToFavBtn""), 0)",,,,2022-09-05 11:55:27,2022-09-05 11:55:28,0.781s,PASSED
"tap(findTestObject(""Main/mainAddToFavBtn""), 0)",,,,2022-09-05 11:55:28,2022-09-05 11:55:29,0.991s,PASSED
delay(2),,,,2022-09-05 11:55:29,2022-09-05 11:55:31,2.012s,PASSED
"tap(findTestObject(""Main/mainCloseFavPopUpBtn""), 0)",,,,2022-09-05 11:55:31,2022-09-05 11:55:32,0.672s,PASSED
delay(2),,,,2022-09-05 11:55:32,2022-09-05 11:55:34,2.003s,PASSED
"takeScreenshot(""/Users/a00139272/Desktop/Screenshot/jomPayAddFav.png"")",,,,2022-09-05 11:55:34,2022-09-05 11:55:36,2.093s,PASSED
"verifyElementVisible(findTestObject(""Main/mainDoneBtn""), 0)",,,,2022-09-05 11:55:36,2022-09-05 11:55:36,0.342s,PASSED
